"Title","Rating","Reviews","Phone","Address","Google Maps Link"
"Flooring America of North Florida","4.1","43","(904) 240-4871","12041 San Jose BlvdShowroom for flooring","https://www.google.com/maps/place/Flooring+America+of+North+Florida/data=!4m7!3m6!1s0x88e5c97e349ffead:0xd4636c1b5a4b8ea4!8m2!3d30.1521273!4d-81.6321886!16s%2Fg%2F1thx9fqb!19sChIJrf6fNH7J5YgRpI5LWhtsY9Q?authuser=0&hl=en&rclk=1"
"Bedrosians Tile & Stone","4.0","52","(904) 458-8000","7750 Philips HwySource for porcelain tile","https://www.google.com/maps/place/Bedrosians+Tile+%26+Stone/data=!4m7!3m6!1s0x88e5ca3cb205da03:0x8dfcaa5ec30eecd!8m2!3d30.2300519!4d-81.591594!16s%2Fg%2F1tgcn2_v!19sChIJA9oFsjzK5YgRze4w7KXK3wg?authuser=0&hl=en&rclk=1"
"RR SPEC FLOORING - Flooring Installers - Tile installers - Bathroom Remodel 32082","4.8","26","(904) 265-8580","32082 4","https://www.google.com/maps/place/RR+SPEC+FLOORING+-+Flooring+Installers+-+Tile+installers+-+Bathroom+Remodel+32082/data=!4m7!3m6!1s0x88e5c97fcc781737:0xa29ce773d45a6e7b!8m2!3d30.208153!4d-81.5949106!16s%2Fg%2F11fy_0s5s7!19sChIJNxd4zH_J5YgRe25a1HPnnKI?authuser=0&hl=en&rclk=1"
"Dexter's Floors","4.4","102","(904) 240-8641","4541 St Augustine Rd #8","https://www.google.com/maps/place/Dexter%27s+Floors/data=!4m7!3m6!1s0x88e5b61e0e61a0b3:0x8d8f471adccb93e5!8m2!3d30.2738526!4d-81.6391877!16s%2Fg%2F11bzx2w7q0!19sChIJs6BhDh625YgR5ZPL3BpHj40?authuser=0&hl=en&rclk=1"
"C.A.S.E. Discount Flooring JAX","5.0","6","(813) 465-9959","5771 Mining Terrace # 202","https://www.google.com/maps/place/C.A.S.E.+Discount+Flooring+JAX/data=!4m7!3m6!1s0x88e5cb084a7aab49:0x2fcdc8ce6876f199!8m2!3d30.1846206!4d-81.568188!16s%2Fg%2F11vqzww7gd!19sChIJSat6SgjL5YgRmfF2aM7IzS8?authuser=0&hl=en&rclk=1"
"Renew Flooring Jax","5.0","35","(904) 482-5224","","https://www.google.com/maps/place/Renew+Flooring+Jax/data=!4m7!3m6!1s0x6b8d69e73fb7df3d:0x634b9458c0b32240!8m2!3d30.2838274!4d-81.6577159!16s%2Fg%2F11l2bfshv7!19sChIJPd-3P-dpjWsRQCKzwFiUS2M?authuser=0&hl=en&rclk=1"
"The Carpet Tree","4.9","42","(904) 778-1846","4256 Blanding Blvd","https://www.google.com/maps/place/The+Carpet+Tree/data=!4m7!3m6!1s0x88e5c77e9a6a97bf:0xf3150b49466139fe!8m2!3d30.2632917!4d-81.7397862!16s%2Fg%2F1trprmc0!19sChIJv5dqmn7H5YgR_jlhRkkLFfM?authuser=0&hl=en&rclk=1"
"Native Flooring","5.0","1","(904) 855-7127","8940 Western Way Suite 14","https://www.google.com/maps/place/Native+Flooring/data=!4m7!3m6!1s0x88e5cbaa8c07dbb9:0x1e452bf21021f86!8m2!3d30.2030473!4d-81.5582287!16s%2Fg%2F11j79psbk2!19sChIJudsHjKrL5YgRhh8CIb9S5AE?authuser=0&hl=en&rclk=1"
"RJ Flooring - Jacksonville","5.0","6","(904) 480-0797","","https://www.google.com/maps/place/RJ+Flooring+-+Jacksonville/data=!4m7!3m6!1s0xa820ef2ac2c8783d:0xfd9f16074f1e43b!8m2!3d30.1665834!4d-81.6001594!16s%2Fg%2F11q8g113g1!19sChIJPXjIwirvIKgRO-TxdGDx2Q8?authuser=0&hl=en&rclk=1"
"Builders Discount Floor Covering","4.8","12","(904) 246-9692","1855 Beach Blvd","https://www.google.com/maps/place/Builders+Discount+Floor+Covering/data=!4m7!3m6!1s0x88e4499e884b7035:0x6dbb43c35d2fc162!8m2!3d30.2886848!4d-81.4104629!16s%2Fg%2F1ts3gfc3!19sChIJNXBLiJ5J5IgRYsEvXcNDu20?authuser=0&hl=en&rclk=1"
"The Kitchen, Bathroom & Flooring Store","4.2","80","(904) 760-4244","11112 San Jose Blvd # 21","https://www.google.com/maps/place/The+Kitchen,+Bathroom+%26+Flooring+Store/data=!4m7!3m6!1s0x88e5c773c777229d:0x937f9380f7892b3e!8m2!3d30.1734118!4d-81.6297852!16s%2Fg%2F1v6qjflb!19sChIJnSJ3x3PH5YgRPiuJ94CTf5M?authuser=0&hl=en&rclk=1"
"Wholesale Tile Supply","4.7","106","(904) 260-0798","9450 Philips Hwy","https://www.google.com/maps/place/Wholesale+Tile+Supply/data=!4m7!3m6!1s0x88e5cba4ee74424f:0x9ce70e9e397a5c78!8m2!3d30.193816!4d-81.5678001!16s%2Fg%2F1tcxqh61!19sChIJT0J07qTL5YgReFx6OZ4O55w?authuser=0&hl=en&rclk=1"
"Floor Trader of Orange Park","4.8","118","(904) 337-6212","88 Blanding Blvd","https://www.google.com/maps/place/Floor+Trader+of+Orange+Park/data=!4m7!3m6!1s0x88e5c6869ed79cfd:0x6043a5feed61ea10!8m2!3d30.182654!4d-81.739962!16s%2Fg%2F1thgc89d!19sChIJ_ZzXnobG5YgREOph7f6lQ2A?authuser=0&hl=en&rclk=1"
"Beaches Flooring & Decorating","4.6","36","(904) 249-7448","618 3rd St S","https://www.google.com/maps/place/Beaches+Flooring+%26+Decorating/data=!4m7!3m6!1s0x88e449ae8aba6f55:0x9ac6ce876c3c20ca!8m2!3d30.281998!4d-81.3907397!16s%2Fg%2F1tdy58lb!19sChIJVW-6iq5J5IgRyiA8bIfOxpo?authuser=0&hl=en&rclk=1"
"Traditions in Tile and Stone - Showroom and Warehouse","4.7","34","(904) 739-7386","7660 Philips Hwy #8","https://www.google.com/maps/place/Traditions+in+Tile+and+Stone+-+Showroom+and+Warehouse/data=!4m7!3m6!1s0x88e5ca232720f1cb:0xc01968917a2c5833!8m2!3d30.2316207!4d-81.5928726!16s%2Fg%2F1vhly_vg!19sChIJy_EgJyPK5YgRM1gsepFoGcA?authuser=0&hl=en&rclk=1"
"About Floors n More","4.0","43","(904) 726-1700","14054 Beach Blvd","https://www.google.com/maps/place/About+Floors+n+More/data=!4m7!3m6!1s0x88e44a368dcd44fb:0x57d7def820f76f0!8m2!3d30.287141!4d-81.4464783!16s%2Fg%2F1thq1j7_!19sChIJ-0TNjTZK5IgR8HYPgu99fQU?authuser=0&hl=en&rclk=1"
"LL Flooring","4.1","77","(904) 404-9025","9300 Arlington ExpyLarge selection of hardwood flooring","https://www.google.com/maps/place/LL+Flooring/data=!4m7!3m6!1s0x88e5b4f4f2149ccd:0xf8fb267650a8b547!8m2!3d30.3205311!4d-81.5564203!16s%2Fg%2F12hkbfq4j!19sChIJzZwU8vS05YgRR7WoUHYm-_g?authuser=0&hl=en&rclk=1"
"Dalton Direct Carpet","4.4","15","(904) 730-6090","5938 University Blvd W","https://www.google.com/maps/place/Dalton+Direct+Carpet/data=!4m7!3m6!1s0x88e5b60a05efb937:0x6724765dde96e74!8m2!3d30.2762451!4d-81.6035904!16s%2Fg%2F1vyk39t1!19sChIJN7nvBQq25YgRdG7p3WVHcgY?authuser=0&hl=en&rclk=1"
"LL Flooring","4.3","89","(904) 783-6446","624 Beauty Rest AveLarge selection of hardwood flooring","https://www.google.com/maps/place/LL+Flooring/data=!4m7!3m6!1s0x88e5b9008e232b2b:0x156844a41992be3d!8m2!3d30.3164278!4d-81.7355619!16s%2Fg%2F1tksjm9d!19sChIJKysjjgC55YgRPb6SGaREaBU?authuser=0&hl=en&rclk=1"
"The Kitchen & Flooring Design Center","3.3","23","(904) 854-9985","4508 Southside Blvd","https://www.google.com/maps/place/The+Kitchen+%26+Flooring+Design+Center/data=!4m7!3m6!1s0x88e5b578ee952753:0xe6278cec80dac4d1!8m2!3d30.2630739!4d-81.5579878!16s%2Fg%2F1tgh8cq3!19sChIJUyeV7ni15YgR0cTagOyMJ-Y?authuser=0&hl=en&rclk=1"
"Advanced Flooring Removal","5.0","30","(904) 878-8350","11111 San Jose Blvd Suite 56","https://www.google.com/maps/place/Advanced+Flooring+Removal/data=!4m7!3m6!1s0x88e5c9fedaba9539:0xafaac54e863bad71!8m2!3d30.1732443!4d-81.6256209!16s%2Fg%2F11h3df603w!19sChIJOZW62v7J5YgRca07hk7Fqq8?authuser=0&hl=en&rclk=1"
"Just Floors","3.5","15","(904) 880-5094","6945 Phillips Pkwy Dr S","https://www.google.com/maps/place/Just+Floors/data=!4m7!3m6!1s0x88e5cb5e92d6f40b:0x8f57f6aaa474234d!8m2!3d30.1666661!4d-81.5340861!16s%2Fg%2F11fnrfjjbb!19sChIJC_TWkl7L5YgRTSN0pKr2V48?authuser=0&hl=en&rclk=1"
